epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.274,0.82566,1.1116,1.01965,0.75186,0.74624,0.83113,0.69552,0.54823,0.83567,0.90404,0.000415541,0.000415541,0.000415541
2,851.911,0.70125,0.77946,0.95373,0.77104,0.8107,0.86606,0.72419,0.53019,0.62959,0.8896,0.00081573,0.00081573,0.00081573
3,1075.67,0.68371,0.74478,0.94819,0.77532,0.80534,0.85777,0.72154,0.52509,0.65212,0.90108,0.00119942,0.00119942,0.00119942
4,1371.08,0.66232,0.72081,0.93953,0.80965,0.81494,0.87778,0.74867,0.50767,0.58082,0.89044,0.00117575,0.00117575,0.00117575
5,1599.51,0.64327,0.68911,0.93445,0.7955,0.83469,0.88389,0.7587,0.49328,0.57825,0.88279,0.001151,0.001151,0.001151
6,1889.32,0.62571,0.67194,0.92768,0.8051,0.84454,0.89307,0.76614,0.49282,0.5441,0.86927,0.00112625,0.00112625,0.00112625
7,2093.58,0.60381,0.64814,0.9205,0.80754,0.85023,0.89614,0.78532,0.45727,0.53356,0.86493,0.0011015,0.0011015,0.0011015
8,2378.42,0.58433,0.62579,0.91367,0.80458,0.84865,0.89514,0.78729,0.43255,0.52011,0.8605,0.00107675,0.00107675,0.00107675
9,2554.03,0.58361,0.61631,0.91369,0.81492,0.83535,0.89732,0.78898,0.4331,0.51948,0.85912,0.001052,0.001052,0.001052
10,2828.57,0.57089,0.60558,0.90974,0.82716,0.84065,0.90165,0.8,0.42067,0.51834,0.85554,0.00102725,0.00102725,0.00102725
11,3135.07,0.56429,0.59723,0.90679,0.82406,0.85565,0.90727,0.79621,0.42869,0.49158,0.85592,0.0010025,0.0010025,0.0010025
12,3483.17,0.55518,0.58796,0.90588,0.83187,0.85229,0.91095,0.81716,0.38717,0.47674,0.84384,0.00097775,0.00097775,0.00097775
13,3808.02,0.5473,0.57907,0.90426,0.81565,0.85852,0.91119,0.80272,0.44067,0.48218,0.85162,0.000953,0.000953,0.000953
14,4144.78,0.54087,0.56572,0.901,0.84012,0.85448,0.9141,0.82249,0.37999,0.45543,0.84472,0.00092825,0.00092825,0.00092825
15,4359.86,0.53463,0.56147,0.89831,0.84034,0.85889,0.91618,0.82697,0.37848,0.44767,0.84112,0.0009035,0.0009035,0.0009035
16,4678.43,0.5253,0.54903,0.8967,0.84613,0.85094,0.91788,0.82819,0.37306,0.4455,0.84111,0.00087875,0.00087875,0.00087875
17,4889.07,0.5214,0.54363,0.89253,0.84423,0.85684,0.9177,0.82297,0.39364,0.45267,0.84135,0.000854,0.000854,0.000854
18,5263.72,0.51551,0.53691,0.89343,0.82599,0.86679,0.91556,0.82946,0.37958,0.44298,0.8398,0.00082925,0.00082925,0.00082925
19,5535.55,0.50623,0.5293,0.89003,0.84256,0.86986,0.92144,0.83519,0.37247,0.43186,0.83613,0.0008045,0.0008045,0.0008045
20,5938.79,0.50929,0.52858,0.89155,0.83816,0.86669,0.92207,0.83935,0.34976,0.42257,0.8332,0.00077975,0.00077975,0.00077975
21,6262.75,0.50059,0.51894,0.88802,0.84312,0.86752,0.92527,0.83953,0.36579,0.42042,0.83156,0.000755,0.000755,0.000755
22,6771.11,0.49585,0.51225,0.88715,0.8445,0.86741,0.92424,0.83792,0.36705,0.42566,0.83296,0.00073025,0.00073025,0.00073025
23,7012.6,0.49219,0.50657,0.88621,0.84394,0.87143,0.92495,0.8411,0.36487,0.41923,0.8313,0.0007055,0.0007055,0.0007055
24,7133.66,0.4865,0.49909,0.88237,0.84633,0.86923,0.92724,0.84771,0.35173,0.40943,0.82946,0.00068075,0.00068075,0.00068075
25,7254.73,0.48398,0.49487,0.88336,0.83032,0.87712,0.92344,0.83945,0.36731,0.43142,0.83236,0.000656,0.000656,0.000656
26,7374.35,0.47741,0.4903,0.8824,0.84462,0.87607,0.92672,0.84815,0.3451,0.40522,0.82747,0.00063125,0.00063125,0.00063125
27,7492.91,0.47368,0.48325,0.87945,0.85566,0.86743,0.92919,0.85109,0.34462,0.3974,0.82777,0.0006065,0.0006065,0.0006065
28,7611.26,0.47117,0.48448,0.88015,0.84607,0.87576,0.92781,0.85062,0.34245,0.39848,0.82792,0.00058175,0.00058175,0.00058175
29,7729.62,0.46736,0.47601,0.87808,0.83754,0.88419,0.92963,0.85091,0.34948,0.39767,0.82683,0.000557,0.000557,0.000557
30,8130.46,0.46428,0.47212,0.8778,0.85138,0.88239,0.9331,0.85573,0.33593,0.3864,0.8244,0.00053225,0.00053225,0.00053225
31,8420.5,0.45741,0.4655,0.8768,0.85538,0.87443,0.93303,0.85731,0.33969,0.38691,0.82405,0.0005075,0.0005075,0.0005075
32,8776.83,0.45703,0.46345,0.87607,0.85392,0.88473,0.93335,0.8573,0.33973,0.38588,0.82379,0.00048275,0.00048275,0.00048275
